scenario,category,ingredient,shortened_ingredient,default_sus,freq_baseline,freq_optimized,delta,baseline_cost_contribution,optimized_cost_contribution,baseline_sustainable_spend,optimized_sustainable_spend,baseline_ghg,optimized_ghg
s2_C3,Beef,Beef Ground HALAL,Ground HALAL,No,9,5,-4,5.2345,2.9080555555555554,0,0,59.952115193000004,33.30673066277778
s2_C3,Beef,Beef Stir-Fry Cut (HS) Halal,Stir-Fry Cut (HS) Halal,Yes,8,12,4,9.273,13.9095,9.273,13.9095,45.480914974,68.221372461
s2_C3,Beef,Beef Sirloin Philly Sliced HALAL,Sirloin Philly Sliced HALAL,Yes,3,2,-1,4.552199999999999,3.0347999999999997,4.552199999999999,3.0347999999999997,22.3269946236,14.8846630824
s2_C3,Beef,Beef Stew Cut (HS) Halal,Stew Cut (HS) Halal,Yes,2,3,1,4.046399999999999,6.069599999999999,4.046399999999999,6.069599999999999,19.8462174432,29.7693261648
s2_C3,Beef,Beef Stew Cut,Stew Cut,No,1,1,0,1.0704,1.0704,0,0,4.9615543608,4.9615543608
s2_C3,Beef,Beef Tri Tip HALAL,Tri Tip HALAL,No,1,1,0,0.04000000000000001,0.04000000000000001,0,0,8.269257268,8.269257268
s2_C3,Chicken,Chicken 8 Cut HALAL,8 Cut HALAL,Yes,10,15,5,6.288,9.432,6.288,9.432,10.5590634864,15.8385952296
s2_C3,Chicken,Chicken Thigh Boneless HALAL,Thigh Boneless HALAL,No,17,13,-4,8.316,6.359294117647059,0,0,18.4783611012,14.130511430329413
s2_C3,Chicken,Chicken Breast B/S Raw HALAL,Breast B/S Raw HALAL,Yes,4,6,2,1.6093,2.41395,1.6093,2.41395,3.3876995352200003,5.08154930283
s2_C3,Chicken,Chicken Diced Dark Meat HALAL,Diced Dark Meat HALAL,No,5,3,-2,3.4216,2.05296,0,0,4.13563319884,2.481379919304
s2_C3,Chicken,Chicken Thigh Bone In HALAL,Thigh Bone In HALAL,No,4,6,2,1.269,1.9034999999999997,0,0,3.9596488074,5.939473211099999
s2_C3,Chicken,Chicken Breast Fajita Cut HALAL,Breast Fajita Cut HALAL,No,2,1,-1,1.276,0.638,0,0,1.7598439144000002,0.8799219572000001
s2_C3,Chicken,Chicken Tenderloin Breaded (HS) Halal,Tenderloin Breaded (HS) Halal,No,2,1,-1,2.3,1.15,0,0,2.199804893,1.0999024465
s2_C3,Chicken,Chicken Breast B/S Raw (HS) HALAL,Breast B/S Raw (HS) HALAL,No,1,1,0,1.2269999999999999,1.2269999999999999,0,0,1.3198829358,1.3198829358
s2_C3,Chicken,Chicken Thigh (HS) HALAL,Thigh (HS) HALAL,No,1,1,0,0.9551999999999999,0.9551999999999999,0,0,1.05590634864,1.05590634864
s2_C3,Chicken,Chicken Thigh Bone In,Thigh Bone In,No,1,1,0,0.3384,0.3384,0,0,1.05590634864,1.05590634864
s2_C3,Fish,Cod Fillet,Cod Fillet,No,2,1,-1,3.74,1.87,0,0,2.489891918,1.244945959
s2_C3,Fish,Cod Fillet Breaded,Cod Fillet Breaded,No,2,1,-1,4.955,2.4775,0,0,2.489891918,1.244945959
s2_C3,Fish,Salmon Fillet Standard,Salmon Fillet Standard,Yes,3,4,1,5.9616,7.948799999999999,5.9616,7.948799999999999,3.5854443619200005,4.78059248256
s2_C3,Fish,Rockfish Fillet,Rock Fillet,Yes,2,2,0,3.845,3.845,3.845,3.845,2.489891918,2.489891918
